;Data;Suma przebadanych osób;Nowe przebadne osoby;Suma wykonanych testów;Dobowa liczba wykonanych testów;Dobowa liczba wykonanych testów antygenowych;% testów antygenowych w dobowej liczbie wykonanych testów;Suma zleceń POZ;Dobowa liczba zleceń POZ;zmiana tygodniowa dobowej liczby zleceń POZ;Suma osób z wynikiem pozytywnym;Dobowa liczba osób z wynikiem pozywnym;% osób z wynikiem pozytywnym (w ogólnej liczbie testów);% osób z wynikiem pozytywnym (w ogólnej liczbie przebadanych osób);dobowy % osób z wynikiem pozytywnym (w dobowej liczbie testów);dobowy % osób z wynikiem pozytywnym (w dobowej liczbie nowych przebadanych osób);Suma wyników negatywnych i powtórnie pozytywnych;Wyniki negatywne i powtórnie pozywyne;;7-dniowa średnia dobowej liczby wykonanych testów;7-dniowa średnia dobowego % wyników pozytywnych  (w dobowej liczbie testów);;! UWAGI ;! W dniu 08.08 MZ podało informację o zawyżeniu sumy przebadanych próbek o ~230 tys. przez WSSE Kielce przez błąd w raportowaniu. Dane historyczne dot. sumy próbek nie zostały skorygowane.                                                            ! Brak raportu za dzień 25.07, podano tylko zaokrągloną liczbę przebadanych próbek.      ! Zmiana godziny raportowania.                                                                                                                                                                                                                              ! Do raportu dodano liczbę przebadanych osób.                                                                                                                                                                                                                                                                                                                                                                               ! Brak raportów za dzień 06.03 i 15.03   ! W związku ze zmianą systemu raportowania i korektami MZ, suma przypadków może nie być zgodna z sumą w zakałdce 'Wzrost';;;;;;;;;;;;;
;16.06;16447564;50867;16824919;51409;32034;62.31%;4058592;2772;-23.00%;2857689;218;16.98%;17.37%;0.42%;0.43%;13967230;51191;;50 991;0.45%;;;;;;;;;;;;;;;;
;17.06;16494960;47396;16872894;47975;29916;62.36%;4061094;2502;-19.73%;2857879;190;16.94%;17.33%;0.40%;0.40%;14015015;47785;;50 035;0.42%;;;;;;;;;;;;;;;;
;18.06;16546251;51291;16924814;51920;32620;62.83%;4063467;2373;-28.78%;2858047;168;16.89%;17.27%;0.32%;0.33%;14066767;51752;;49 453;0.41%;;;;;;;;;;;;;;;;
;19.06;16584071;37820;16962988;38174;23453;61.44%;4064037;570;8.78%;2858180;133;16.85%;17.23%;0.35%;0.35%;14104808;38041;;47 991;0.39%;;;;;;;;;;;;;;;;
;20.06;16611422;27351;16990594;27606;18085;65.51%;4064387;350;-33.71%;2858253;73;16.82%;17.21%;0.26%;0.27%;14132341;27533;;47 184;0.37%;;;;;;;;;;;;;;;;
;21.06;16675485;64063;17055537;64943;48996;75.44%;4067912;3525;-20.09%;2858441;188;16.76%;17.14%;0.29%;0.29%;14197096;64755;;48 091;0.36%;;;;;;;;;;;;;;;;
;22.06;16734539;59054;17115473;59936;38529;64.28%;4070265;2353;-19.72%;2858606;165;16.70%;17.08%;0.28%;0.28%;14256867;59771;;48 852;0.33%;;;;;;;;;;;;;;;;
;23.06;16782161;47622;17163586;48113;30619;63.64%;4072764;2499;-9.85%;2858753;147;16.66%;17.03%;0.31%;0.31%;14304833;47966;;48 381;0.31%;;;;;;;;;;;;;;;;
;24.06;16824215;42054;17206104;42518;27330;64.28%;4075090;2326;-7.03%;2858886;133;16.62%;16.99%;0.31%;0.32%;14347218;42385;;47 601;0.30%;;;;;;;;;;;;;;;;
;25.06;16866957;42742;17249401;43297;27333;63.13%;4077249;2159;-9.02%;2858986;100;16.57%;16.95%;0.23%;0.23%;14390415;43197;;46 370;0.29%;;;;;;;;;;;;;;;;
;26.06;16897291;30334;17280059;30658;18546;60.49%;4077928;679;19.12%;2859057;71;16.55%;16.92%;0.23%;0.23%;14421002;30587;;45 296;0.27%;;;;;;;;;;;;;;;;
;27.06;16918537;21246;17301502;21443;13144;61.30%;4078396;468;33.71%;2859109;52;16.53%;16.90%;0.24%;0.24%;14442393;21391;;44 415;0.27%;;;;;;;;;;;;;;;;
;28.06;16971783;53246;17355332;53830;38887;72.24%;4081145;2749;-22.01%;2859232;123;16.47%;16.85%;0.23%;0.23%;14496100;53707;;42 828;0.26%;;;;;;;;;;;;;;;;
;29.06;17021290;49507;17405420;50088;31035;61.96%;4083233;2088;-11.26%;2859336;104;16.43%;16.80%;0.21%;0.21%;14546084;49984;;41 421;0.25%;;;;;;;;;;;;;;;;
;30.06;17060437;39147;17444955;39535;23745;60.06%;4085354;2121;-15.13%;2859434;98;16.39%;16.76%;0.25%;0.25%;14585521;39437;;40 196;0.24%;;;;;;;;;;;;;;;;
;01.07;17102429;41992;17487341;42386;28774;67.89%;4087578;2224;-4.39%;2859530;96;16.35%;16.72%;0.23%;0.23%;14627811;42290;;40 177;0.23%;;;;;;;;;;;;;;;;
;02.07;17148703;46274;17534032;46691;31857;68.23%;4089763;2185;1.20%;2859637;107;16.31%;16.68%;0.23%;0.23%;14674395;46584;;40 662;0.23%;;;;;;;;;;;;;;;;
;03.07;17182695;33992;17568342;34310;23533;68.59%;4090576;813;19.73%;2859691;54;16.28%;16.64%;0.16%;0.16%;14708651;34256;;41 183;0.22%;;;;;;;;;;;;;;;;
;04.07;17205746;23051;17591621;23279;15946;68.50%;4091306;730;55.98%;2859729;38;16.26%;16.62%;0.16%;0.16%;14731892;23241;;41 446;0.21%;;;;;;;;;;;;;;;;
;05.07;17254698;48952;17641084;49463;34664;70.08%;4094306;3000;9.13%;2859825;96;16.21%;16.57%;0.19%;0.20%;14781259;49367;;40 822;0.20%;;;;;;;;;;;;;;;;
;06.07;17297143;42445;17683975;42891;27165;63.33%;4096436;2130;2.01%;2859928;103;16.17%;16.53%;0.24%;0.24%;14824047;42788;;39 794;0.21%;;;;;;;;;;;;;;;;
;07.07;17336648;39505;17723903;39928;26026;65.18%;4098626;2190;3.25%;2860021;93;16.14%;16.50%;0.23%;0.24%;14863882;39835;;39 850;0.21%;;;;;;;;;;;;;;;;
;08.07;17376898;40250;17764634;40731;27840;68.35%;4100666;2040;-8.27%;2860097;76;16.10%;16.46%;0.19%;0.19%;14904537;40655;;39 613;0.20%;;;;;;;;;;;;;;;;
;09.07;17421887;44989;17810165;45531;31618;69.44%;4102930;2264;3.62%;2860183;86;16.06%;16.42%;0.19%;0.19%;14949982;45445;;39 448;0.19%;;;;;;;;;;;;;;;;
;10.07;17455735;33848;17844321;34156;23289;68.18%;4103699;769;-5.41%;2860249;66;16.03%;16.39%;0.19%;0.19%;14984072;34090;;39 426;0.20%;;;;;;;;;;;;;;;;
;11.07;17481208;25473;17869992;25671;18220;70.98%;4103939;240;-67.12%;2860293;44;16.01%;16.36%;0.17%;0.17%;15009699;25627;;39 767;0.20%;;;;;;;;;;;;;;;;
;12.07;17527656;46448;17916931;46939;33098;70.51%;4106435;2496;-16.80%;2860389;96;15.96%;16.32%;0.20%;0.21%;15056542;46843;;39 407;0.20%;;;;;;;;;;;;;;;;
;13.07;17568798;41142;17958574;41643;26529;63.71%;4108441;2006;-5.82%;2860475;86;15.93%;16.28%;0.21%;0.21%;15098099;41557;;39 228;0.20%;;;;;;;;;;;;;;;;
;14.07;17609235;40437;18000131;41557;26016;62.60%;4110419;1978;-9.68%;2860580;105;15.89%;16.24%;0.25%;0.26%;15139551;41452;;39 461;0.20%;;;;;;;;;;;;;;;;
;15.07;17645591;36356;18036932;36801;25287;68.71%;4112115;1696;-16.86%;2860673;93;15.86%;16.21%;0.25%;0.26%;15176259;36708;;38 900;0.21%;;;;;;;;;;;;;;;;
;16.07;17690815;45224;18082617;45685;32162;70.40%;4113662;1547;-31.67%;2860787;114;15.82%;16.17%;0.25%;0.25%;15221830;45571;;38 922;0.22%;;;;;;;;;;;;;;;;
;17.07;17722715;31900;18114809;32192;22007;68.36%;4114186;524;-31.86%;2860856;69;15.79%;16.14%;0.21%;0.22%;15253953;32123;;38 641;0.22%;;;;;;;;;;;;;;;;
;18.07;17745973;23258;18138390;23581;16119;68.36%;4114295;109;-54.58%;2860923;67;15.77%;16.12%;0.28%;0.29%;15277467;23514;;38 343;0.24%;;;;;;;;;;;;;;;;
;19.07;17793102;47129;18185997;47607;34691;72.87%;4116397;2102;-15.79%;2861027;104;15.73%;16.08%;0.22%;0.22%;15324970;47503;;38 438;0.24%;;;;;;;;;;;;;;;;
;20.07;17834922;41820;18228205;42208;26274;62.25%;4117835;1438;-28.32%;2861151;124;15.70%;16.04%;0.29%;0.30%;15367054;42084;;38 519;0.25%;;;;;;;;;;;;;;;;
;21.07;17872052;37130;18265699;37494;24170;64.46%;4119256;1421;-28.16%;2861277;126;15.66%;16.01%;0.34%;0.34%;15404422;37368;;37 938;0.26%;;;;;;;;;;;;;;;;
;22.07;17908885;36833;18302896;37197;25711;69.12%;4120761;1505;-11.26%;2861385;108;15.63%;15.98%;0.29%;0.29%;15441511;37089;;37 995;0.27%;;;;;;;;;;;;;;;;
;23.07;17950335;41450;18344722;41826;29381;70.25%;4122408;1647;6.46%;2861507;122;15.60%;15.94%;0.29%;0.29%;15483215;41704;;37 444;0.28%;;;;;;;;;;;;;;;;
;24.07;17982337;32002;18377018;32296;21801;67.50%;4122714;306;-41.60%;2861589;82;15.57%;15.91%;0.25%;0.26%;15515429;32214;;37 458;0.28%;;;;;;;;;;;;;;;;
;25.07;18005693;23356;18400547;23529;17395;73.93%;4122863;149;36.70%;2861663;74;15.55%;15.89%;0.31%;0.32%;15538884;23455;;37 451;0.29%;;;;;;;;;;;;;;;;
;26.07;18047826;42133;18443038;42491;29825;70.19%;4125028;2165;3.00%;2861769;106;15.52%;15.86%;0.25%;0.25%;15581269;42385;;36 720;0.29%;;;;;;;;;;;;;;;;
;27.07;18086621;38795;18482181;39143;25691;65.63%;4126683;1655;15.09%;2861907;138;15.48%;15.82%;0.35%;0.36%;15620274;39005;;36 282;0.30%;;;;;;;;;;;;;;;;
;28.07;18123812;37191;18519682;37501;24604;65.61%;4128165;1482;4.29%;2862074;167;15.45%;15.79%;0.45%;0.45%;15657608;37334;;36 283;0.31%;;;;;;;;;;;;;;;;
;29.07;18160481;36669;18556710;37028;26251;70.89%;4129625;1460;-2.99%;2862227;153;15.42%;15.76%;0.41%;0.42%;15694483;36875;;36 259;0.33%;;;;;;;;;;;;;;;;
;30.07;18202984;42503;18599532;42822;30105;70.30%;4131273;1648;0.06%;2862380;153;15.39%;15.72%;0.36%;0.36%;15737152;42669;;36 401;0.34%;;;;;;;;;;;;;;;;
;31.07;18236106;33122;18632904;33372;24044;72.05%;4131760;487;59.15%;2862471;91;15.36%;15.70%;0.27%;0.27%;15770433;33281;;36 555;0.34%;;;;;;;;;;;;;;;;
;01.08;18260678;24572;18657673;24769;18904;76.32%;4132078;318;113.42%;2862562;91;15.34%;15.68%;0.37%;0.37%;15795111;24678;;36 732;0.35%;;;;;;;;;;;;;;;;
;02.08;18306286;45608;18703666;45993;32849;71.42%;4134397;2319;7.11%;2862726;164;15.31%;15.64%;0.36%;0.36%;15840940;45829;;37 233;0.37%;;;;;;;;;;;;;;;;
;03.08;18347724;41438;18745499;41833;28037;67.02%;4135991;1594;-3.69%;2862890;164;15.27%;15.60%;0.39%;0.40%;15882609;41669;;37 617;0.37%;;;;;;;;;;;;;;;;
;04.08;18387211;39487;18785309;39810;27223;68.38%;4137524;1533;3.44%;2863066;176;15.24%;15.57%;0.44%;0.45%;15922243;39634;;37 947;0.37%;;;;;;;;;;;;;;;;
;05.08;18426146;38935;18824636;39327;28507;72.49%;4139042;1518;3.97%;2863238;172;15.21%;15.54%;0.44%;0.44%;15961398;39155;;38 275;0.38%;;;;;;;;;;;;;;;;
;06.08;18471289;45143;18870144;45508;33152;72.85%;4140646;1604;-2.67%;2863419;181;15.17%;15.50%;0.40%;0.40%;16006725;45327;;38 659;0.38%;;;;;;;;;;;;;;;;
;07.08;18507696;36407;18906867;36723;27372;74.54%;4140917;271;-44.35%;2863541;122;15.15%;15.47%;0.33%;0.34%;16043326;36601;;39 138;0.39%;;;;;;;;;;;;;;;;
;08.08;18532479;24783;18931840;24973;19076;76.39%;4141211;294;-7.55%;2863605;64;15.13%;15.45%;0.26%;0.26%;16068235;24909;;39 167;0.37%;;;;;;;;;;;;;;;;
;09.08;18578628;46149;18978511;46671;34126;73.12%;4143600;2389;3.02%;2863805;200;15.09%;15.41%;0.43%;0.43%;16114706;46471;;39 264;0.38%;;;;;;;;;;;;;;;;
;10.08;18619713;41085;19019955;41444;27953;67.45%;4145282;1682;5.52%;2864003;198;15.06%;15.38%;0.48%;0.48%;16155952;41246;;39 208;0.40%;;;;;;;;;;;;;;;;
;11.08;18659033;39320;19059617;39662;26944;67.93%;4146987;1705;11.22%;2864226;223;15.03%;15.35%;0.56%;0.57%;16195391;39439;;39 187;0.41%;;;;;;;;;;;;;;;;
;12.08;18698058;39025;19098990;39373;28356;72.02%;4148576;1589;4.68%;2864422;196;15.00%;15.32%;0.50%;0.50%;16234568;39177;;39 193;0.42%;;;;;;;;;;;;;;;;
;13.08;18743739;45681;19145077;46087;34130;74.06%;4150381;1805;12.53%;2864633;211;14.96%;15.28%;0.46%;0.46%;16280444;45876;;39 276;0.43%;;;;;;;;;;;;;;;;
;14.08;18779806;36067;19181429;36352;26775;73.65%;4150710;329;21.40%;2864781;148;14.94%;15.25%;0.41%;0.41%;16316648;36204;;39 223;0.44%;;;;;;;;;;;;;;;;
;15.08;18805145;25339;19206941;25512;19396;76.03%;4150821;111;-62.24%;2864909;128;14.92%;15.23%;0.50%;0.51%;16342032;25384;;39 300;0.48%;;;;;;;;;;;;;;;;
;16.08;18853165;48020;19255619;48678;34318;70.50%;4153879;3058;28.00%;2865130;221;14.88%;15.20%;0.45%;0.46%;16390489;48457;;39 587;0.48%;;;;;;;;;;;;;;;;
;17.08;18895118;41953;19297919;42300;27992;66.17%;4155691;1812;7.73%;2865338;208;14.85%;15.16%;0.49%;0.50%;16432581;42092;;39 709;0.48%;;;;;;;;;;;;;;;;
;18.08;18932972;37854;19336157;38238;25875;67.67%;4157423;1732;1.58%;2865535;197;14.82%;15.14%;0.52%;0.52%;16470622;38041;;39 506;0.48%;;;;;;;;;;;;;;;;
;19.08;18971487;38515;19375004;38847;28112;72.37%;4159154;1731;8.94%;2865747;212;14.79%;15.11%;0.55%;0.55%;16509257;38635;;39 431;0.48%;;;;;;;;;;;;;;;;
;20.08;19015520;44033;19419496;44492;32613;73.30%;4160987;1833;1.55%;2865969;222;14.76%;15.07%;0.50%;0.50%;16553527;44270;;39 203;0.49%;;;;;;;;;;;;;;;;
;21.08;19048757;33237;19452993;33497;24780;73.98%;4161285;298;-9.42%;2866154;185;14.73%;15.05%;0.55%;0.56%;16586839;33312;;38 795;0.51%;;;;;;;;;;;;;;;;
;22.08;19071012;22255;19475420;22427;16831;75.05%;4161660;375;237.84%;2866261;107;14.72%;15.03%;0.48%;0.48%;16609159;22320;;38 354;0.51%;;;;;;;;;;;;;;;;
;23.08;19116176;45164;19520897;45477;32958;72.47%;4164856;3196;4.51%;2866494;233;14.68%;15.00%;0.51%;0.52%;16654403;45244;;37 897;0.51%;;;;;;;;;;;;;;;;
;24.08;19155888;39712;19561250;40353;27038;67.00%;4166805;1949;7.56%;2866728;234;14.66%;14.97%;0.58%;0.59%;16694522;40119;;37 619;0.53%;;;;;;;;;;;;;;;;
;25.08;19193365;37477;19599018;37768;25974;68.77%;4168724;1919;10.80%;2866979;251;14.63%;14.94%;0.66%;0.67%;16732039;37517;;37 552;0.55%;;;;;;;;;;;;;;;;
;26.08;19230875;37510;19636867;37849;26807;70.83%;4170560;1836;6.07%;2867237;258;14.60%;14.91%;0.68%;0.69%;16769630;37591;;37 409;0.57%;;;;;;;;;;;;;;;;
;27.08;19273335;42460;19679692;42825;31303;73.10%;4172620;2060;12.38%;2867527;290;14.57%;14.88%;0.68%;0.68%;16812165;42535;;37 171;0.59%;;;;;;;;;;;;;;;;
;28.08;19304574;31239;19711583;31891;23599;74.00%;4172954;334;12.08%;2867731;204;14.55%;14.86%;0.64%;0.65%;16843852;31687;;36 941;0.60%;;;;;;;;;;;;;;;;
;29.08;19326523;21949;19733660;22077;16525;74.85%;4173073;119;-68.27%;2867882;151;14.53%;14.84%;0.68%;0.69%;16865778;21926;;36 891;0.63%;;;;;;;;;;;;;;;;
;30.08;19370853;44330;19778356;44696;31595;70.69%;4176302;3229;1.03%;2868167;285;14.50%;14.81%;0.64%;0.64%;16910189;44411;;36 780;0.65%;;;;;;;;;;;;;;;;
;31.08;19411320;40467;19819235;40879;26262;64.24%;4178742;2440;25.19%;2868533;366;14.47%;14.78%;0.90%;0.90%;16950702;40513;;36 855;0.70%;;;;;;;;;;;;;;;;
;01.09;19450274;38954;19858508;39273;25505;64.94%;4181129;2387;24.39%;2868923;390;14.45%;14.75%;0.99%;1.00%;16989585;38883;;37 070;0.74%;;;;;;;;;;;;;;;;
;02.09;19486485;36211;19895057;36549;25445;69.62%;4183466;2337;27.29%;2869272;349;14.42%;14.72%;0.95%;0.96%;17025785;36200;;36 884;0.78%;;;;;;;;;;;;;;;;
;03.09;19527267;40782;19936192;41135;28501;69.29%;4186060;2594;25.92%;2869661;389;14.39%;14.70%;0.95%;0.95%;17066531;40746;;36 643;0.82%;;;;;;;;;;;;;;;;
;04.09;19557172;29905;19966311;30119;20941;69.53%;4186283;223;-33.23%;2869985;324;14.37%;14.67%;1.08%;1.08%;17096326;29795;;36 390;0.88%;;;;;;;;;;;;;;;;
;05.09;19578336;21164;19987633;21322;15586;73.10%;4186428;145;21.85%;2870168;183;14.36%;14.66%;0.86%;0.86%;17117465;21139;;36 282;0.91%;;;;;;;;;;;;;;;;
;06.09;19622278;43942;20031962;44329;30663;69.17%;4191008;4580;41.84%;2870574;406;14.33%;14.63%;0.92%;0.92%;17161388;43923;;36 229;0.95%;;;;;;;;;;;;;;;;
;07.09;19661807;39529;20071865;39903;24173;60.58%;4194584;3576;46.56%;2871107;533;14.30%;14.60%;1.34%;1.35%;17200758;39370;;36 090;1.01%;;;;;;;;;;;;;;;;
;08.09;19699264;37457;20109569;37704;23881;63.34%;4198337;3753;57.23%;2871617;510;14.28%;14.58%;1.35%;1.36%;17237952;37194;;35 866;1.06%;;;;;;;;;;;;;;;;
;09.09;19737980;38716;20148580;39011;26117;66.95%;4202348;4011;71.63%;2872145;528;14.25%;14.55%;1.35%;1.36%;17276435;38483;;36 218;1.12%;;;;;;;;;;;;;;;;
;10.09;19780100;42120;20191008;42428;27735;65.37%;4206650;4302;65.84%;2872675;530;14.23%;14.52%;1.25%;1.26%;17318333;41898;;36 402;1.16%;;;;;;;;;;;;;;;;
;11.09;19810691;30591;20221762;30754;19571;63.64%;4206930;280;25.56%;2873151;476;14.21%;14.50%;1.55%;1.56%;17348611;30278;;36 493;1.23%;;;;;;;;;;;;;;;;
;12.09;19833034;22343;20244202;22440;15618;69.60%;4207109;179;23.45%;2873420;269;14.19%;14.49%;1.20%;1.20%;17370782;22171;;36 653;1.28%;;;;;;;;;;;;;;;;
;13.09;19878172;45138;20289716;45514;30549;67.12%;4215041;7932;73.19%;2873957;537;14.16%;14.46%;1.18%;1.19%;17415759;44977;;36 822;1.32%;;;;;;;;;;;;;;;;
;14.09;19920757;42585;20332599;42883;25036;58.38%;4221022;5981;67.25%;2874724;767;14.14%;14.43%;1.79%;1.80%;17457875;42116;;37 248;1.38%;;;;;;;;;;;;;;;;
;15.09;19961353;40596;20373472;40873;24182;59.16%;4226503;5481;46.04%;2875446;722;14.11%;14.41%;1.77%;1.78%;17498026;40151;;37 700;1.44%;;;;;;;;;;;;;;;;
;16.09;19997028;35675;20409431;35959;21684;60.30%;4231955;5452;35.93%;2876098;652;14.09%;14.38%;1.81%;1.83%;17533333;35307;;37 264;1.51%;;;;;;;;;;;;;;;;
;17.09;20039660;42632;20452385;42954;26977;62.80%;4237010;5055;17.50%;2876895;797;14.07%;14.36%;1.86%;1.87%;17575490;42157;;37 340;1.59%;;;;;;;;;;;;;;;;
;18.09;20070386;30726;20483363;30978;20662;66.70%;4237300;290;3.57%;2877435;540;14.05%;14.34%;1.74%;1.76%;17605928;30438;;37 372;1.62%;;;;;;;;;;;;;;;;
;19.09;20092593;22207;20505694;22331;14756;66.08%;4237446;146;-18.44%;2877798;363;14.03%;14.32%;1.63%;1.63%;17627896;21968;;37 356;1.68%;;;;;;;;;;;;;;;;
;20.09;20137546;44953;20551031;45337;29995;66.16%;4245584;8138;2.60%;2878509;711;14.01%;14.29%;1.57%;1.58%;17672522;44626;;37 331;1.74%;;;;;;;;;;;;;;;;
;21.09;20179582;42036;20593331;42300;24816;58.67%;4251923;6339;5.99%;2879391;882;13.98%;14.27%;2.09%;2.10%;17713940;41418;;37 247;1.78%;;;;;;;;;;;;;;;;
;22.09;20221027;41445;20635038;41707;23741;56.92%;4257941;6018;9.80%;2880365;974;13.96%;14.24%;2.34%;2.35%;17754673;40733;;37 367;1.86%;;;;;;;;;;;;;;;;
;23.09;20260732;39705;20675000;39962;24041;60.16%;4263604;5663;3.87%;2881178;813;13.94%;14.22%;2.03%;2.05%;17793822;39149;;37 938;1.89%;;;;;;;;;;;;;;;;
;24.09;20302740;42008;20717352;42352;26492;62.55%;4268729;5125;1.38%;2882095;917;13.91%;14.20%;2.17%;2.18%;17835257;41435;;37 852;1.94%;;;;;;;;;;;;;;;;
;25.09;20331579;28839;20746371;29019;17719;61.06%;4269050;321;10.69%;2882738;643;13.90%;14.18%;2.22%;2.23%;17863633;28376;;37 573;2.00%;;;;;;;;;;;;;;;;
;26.09;20352805;21226;20767718;21347;14570;68.25%;4269235;185;26.71%;2883159;421;13.88%;14.17%;1.97%;1.98%;17884559;20926;;37 432;2.05%;;;;;;;;;;;;;;;;
;27.09;20399286;46481;20814579;46861;31109;66.39%;4277743;8508;4.55%;2884134;975;13.86%;14.14%;2.08%;2.10%;17930445;45886;;37 650;2.13%;;;;;;;;;;;;;;;;
;28.09;20444820;45534;20860437;45858;26780;58.40%;4283737;5994;-5.44%;2885368;1234;13.83%;14.11%;2.69%;2.71%;17975069;44624;;38 158;2.21%;;;;;;;;;;;;;;;;
;29.09;20484007;39187;20899886;39449;23158;58.70%;4289501;5764;-4.22%;2886576;1208;13.81%;14.09%;3.06%;3.08%;18013310;38241;;37 835;2.32%;;;;;;;;;;;;;;;;
;30.09;20526054;42047;20942729;42843;26985;62.99%;4294964;5463;-3.53%;2887938;1362;13.79%;14.07%;3.18%;3.24%;18054791;41481;;38 247;2.48%;;;;;;;;;;;;;;;;
;01.10;20567965;41911;20985041;42312;25108;59.34%;4300463;5499;7.30%;2889282;1344;13.77%;14.05%;3.18%;3.21%;18095759;40968;;38 241;2.63%;;;;;;;;;;;;;;;;
;02.10;20597963;29998;21015216;30175;18126;60.07%;4300766;303;-5.61%;2890372;1090;13.75%;14.03%;3.61%;3.63%;18124844;29085;;38 406;2.82%;;;;;;;;;;;;;;;;
;03.10;20619398;21435;21036799;21583;14206;65.82%;4300934;168;-9.19%;2891056;684;13.74%;14.02%;3.17%;3.19%;18145743;20899;;38 440;3.00%;;;;;;;;;;;;;;;;
;04.10;20663686;44288;21081491;44692;28130;62.94%;4310382;9448;11.05%;2892381;1325;13.72%;14.00%;2.96%;2.99%;18189110;43367;;38 130;3.12%;;;;;;;;;;;;;;;;
;05.10;20707050;43364;21125159;43668;23931;54.80%;4317373;6991;16.63%;2894466;2085;13.70%;13.98%;4.77%;4.81%;18230693;41583;;37 817;3.42%;;;;;;;;;;;;;;;;
;06.10;20747885;40835;21166301;41142;23035;55.99%;4324193;6820;18.32%;2896473;2007;13.68%;13.96%;4.88%;4.91%;18269828;39135;;38 059;3.68%;;;;;;;;;;;;;;;;
;07.10;20786029;38144;21204795;38494;21903;56.90%;4330715;6522;19.38%;2898368;1895;13.67%;13.94%;4.92%;4.97%;18306427;36599;;37 438;3.93%;;;;;;;;;;;;;;;;
;08.10;20825022;38993;21244192;39397;22334;56.69%;4336985;6270;14.02%;2900380;2012;13.65%;13.93%;5.11%;5.16%;18343812;37385;;37 022;4.20%;;;;;;;;;;;;;;;;
;09.10;20850573;25551;21270038;25846;14148;54.74%;4337206;221;-27.06%;2901907;1527;13.64%;13.92%;5.91%;5.98%;18368131;24319;;36 403;4.53%;;;;;;;;;;;;;;;;
;10.10;20871419;20846;21291251;21213;13248;62.45%;4337394;188;11.90%;2902810;903;13.63%;13.91%;4.26%;4.33%;18388441;20310;;36 350;4.69%;;;;;;;;;;;;;;;;
;11.10;20913643;42224;21334099;42848;26956;62.91%;4348467;11073;17.20%;2904928;2118;13.62%;13.89%;4.94%;5.02%;18429171;40730;;36 087;4.97%;;;;;;;;;;;;;;;;
;12.10;20957877;44234;21378996;44897;24621;54.84%;4356417;7950;13.72%;2907568;2640;13.60%;13.87%;5.88%;5.97%;18471428;42257;;36 262;5.13%;;;;;;;;;;;;;;;;
;13.10;21002143;44266;21423885;44889;23997;53.46%;4364461;8044;17.95%;2910568;3000;13.59%;13.86%;6.68%;6.78%;18513317;41889;;36 798;5.39%;;;;;;;;;;;;;;;;
;14.10;21041396;39253;21463748;39863;22184;55.65%;4372007;7546;15.70%;2913339;2771;13.57%;13.85%;6.95%;7.06%;18550409;37092;;36 993;5.68%;;;;;;;;;;;;;;;;
;15.10;21084470;43074;21507393;43645;23619;54.12%;4380032;8025;27.99%;2916575;3236;13.56%;13.83%;7.41%;7.51%;18590818;40409;;37 600;6.01%;;;;;;;;;;;;;;;;
;16.10;21112887;28417;21536090;28697;15074;52.53%;4380309;277;25.34%;2919098;2523;13.55%;13.83%;8.79%;8.88%;18616992;26174;;38 007;6.42%;;;;;;;;;;;;;;;;
;17.10;21134928;22041;21558454;22364;13698;61.25%;4380583;274;45.74%;2920635;1537;13.55%;13.82%;6.87%;6.97%;18637819;20827;;38 172;6.79%;;;;;;;;;;;;;;;;
;18.10;21183658;48730;21607857;49403;30243;61.22%;4395738;15155;36.86%;2924566;3931;13.53%;13.81%;7.96%;8.07%;18683291;45472;;39 108;7.22%;;;;;;;;;;;;;;;;
;19.10;21234179;50521;21658943;51086;25517;49.95%;4407336;11598;45.89%;2930125;5559;13.53%;13.80%;10.88%;11.00%;18728818;45527;;39 992;7.94%;;;;;;;;;;;;;;;;
;20.10;21283367;49188;21708592;49649;25251;50.86%;4419655;12319;53.15%;2935717;5592;13.52%;13.79%;11.26%;11.37%;18772875;44057;;40 672;8.59%;;;;;;;;;;;;;;;;
;21.10;21332589;49222;21758129;49537;25657;51.79%;4432076;12421;64.60%;2941423;5706;13.52%;13.79%;11.52%;11.59%;18816706;43831;;42 054;9.24%;;;;;;;;;;;;;;;;
;22.10;21384071;51482;21810086;51957;26257;50.54%;4444530;12454;55.19%;2947697;6274;13.52%;13.78%;12.08%;12.19%;18862389;45683;;43 242;9.91%;;;;;;;;;;;;;;;;
;23.10;21417637;33566;21843867;33781;15150;44.85%;4444922;392;41.52%;2952425;4728;13.52%;13.79%;14.00%;14.09%;18891442;29053;;43 968;10.65%;;;;;;;;;;;;;;;;
;24.10;21442925;25288;21869382;25515;13984;54.81%;4445257;335;22.26%;2955375;2950;13.51%;13.78%;11.56%;11.67%;18914007;22565;;44 418;11.32%;;;;;;;;;;;;;;;;
;25.10;21498834;55909;21925993;56611;33593;59.34%;4467202;21945;44.80%;2961640;6265;13.51%;13.78%;11.07%;11.21%;18964353;50346;;45 448;11.77%;;;;;;;;;;;;;;;;
;26.10;21557026;58192;21984855;58862;28340;48.15%;4483675;16473;42.03%;2970001;8361;13.51%;13.78%;14.20%;14.37%;19014854;50501;;46 559;12.24%;;;;;;;;;;;;;;;;
;27.10;21615145;58119;22043704;58849;28120;47.78%;4500494;16819;36.53%;2978379;8378;13.51%;13.78%;14.24%;14.42%;19065325;50471;;47 873;12.67%;;;;;;;;;;;;;;;;
